"participant","bigram","word","RT"
1,"to bu","bu",329
1,"bu ka","ka",352
1,"ka ta","ta",336
1,"ta to","to",381
1,"to bu","bu",350
1,"bu bu","bu",353
1,"bu bu","bu",369
1,"bu bu","bu",339
1,"bu ba","ba",354
1,"ba bu","bu",324
1,"bu bu","bu",377
1,"bu to","to",367
1,"to ta","ta",356
1,"ta bu","bu",329
1,"bu ti","ti",359
1,"ti ka","ka",364
1,"ka ti","ti",384
1,"ti go","go",354
1,"go bu","bu",349
1,"bu to","to",333
1,"to ba","ba",359
1,"ba re","re",359
1,"re do","do",362
1,"do ti","ti",354
1,"ti ba","ba",344
1,"ba ka","ka",347
1,"ka re","re",366
1,"re bu","bu",344
1,"bu ka","ka",351
1,"ka bu","bu",319
1,"bu re","re",367
1,"re bu","bu",350
1,"bu ka","ka",338
1,"ka ba","ba",331
1,"ba re","re",340
1,"re bu","bu",356
1,"bu ka","ka",349
1,"ka re","re",317
1,"re bu","bu",343
1,"bu ka","ka",332
1,"ka bu","bu",355
1,"bu ba","ba",320
1,"ba re","re",366
1,"re do","do",367
1,"do ba","ba",353
1,"ba ba","ba",322
1,"ba bu","bu",349
1,"bu go","go",347
1,"go ta","ta",373
1,"ta to","to",329
1,"to ka","ka",346
1,"ka ka","ka",353
1,"ka ka","ka",349
1,"ka to","to",353
1,"to ta","ta",349
1,"ta bu","bu",327
1,"bu ka","ka",361
1,"ka re","re",351
1,"re ba","ba",325
1,"ba ba","ba",329
1,"ba bu","bu",347
1,"bu bu","bu",327
1,"bu bu","bu",330
1,"bu ta","ta",331
1,"ta ka","ka",361
1,"ka re","re",317
1,"re ba","ba",329
1,"ba ta","ta",339
1,"ta re","re",320
1,"re bu","bu",371
1,"bu ka","ka",353
1,"ka ba","ba",338
1,"ba ta","ta",353
1,"ta bu","bu",332
1,"bu ti","ti",350
1,"ti ti","ti",369
1,"ti go","go",332
1,"go bu","bu",338
1,"bu to","to",339
1,"to re","re",383
1,"re bu","bu",350
1,"bu ka","ka",342
1,"ka ba","ba",325
1,"ba ta","ta",356
1,"ta ba","ba",350
1,"ba bu","bu",346
1,"bu bu","bu",336
1,"bu bu","bu",330
1,"bu ta","ta",322
1,"ta ba","ba",365
1,"ba to","to",358
1,"to bu","bu",337
1,"bu ti","ti",357
1,"ti ta","ta",330
1,"ta go","go",367
1,"go bu","bu",349
1,"bu to","to",327
1,"to re","re",351
1,"re bu","bu",350
1,"bu ka","ka",350
1,"ka re","re",332
1,"re bu","bu",327
1,"bu ka","ka",333
1,"ka ba","ba",365
1,"ba ka","ka",367
1,"ka ti","ti",342
1,"ti ba","ba",349
1,"ba ba","ba",352
1,"ba re","re",360
1,"re do","do",334
1,"do ka","ka",368
1,"ka re","re",329
1,"re ba","ba",354
1,"ba to","to",359
1,"to ta","ta",349
1,"ta to","to",356
1,"to bu","bu",349
1,"bu ti","ti",330
1,"ti go","go",366
1,"go ka","ka",360
1,"ka bu","bu",368
1,"bu to","to",363
1,"to ti","ti",374
1,"ti go","go",335
1,"go bu","bu",326
1,"bu ka","ka",357
1,"ka ka","ka",335
1,"ka re","re",336
1,"re ba","ba",322
1,"ba bu","bu",345
1,"bu re","re",377
1,"re bu","bu",311
1,"bu ka","ka",335
1,"ka bu","bu",361
1,"bu ta","ta",351
1,"ta ka","ka",326
1,"ka ba","ba",338
1,"ba ka","ka",349
1,"ka ti","ti",292
1,"ti bu","bu",362
1,"bu ba","ba",332
1,"ba bu","bu",350
1,"bu ba","ba",316
1,"ba ka","ka",329
1,"ka ti","ti",343
1,"ti re","re",367
1,"re bu","bu",339
1,"bu ka","ka",340
1,"ka ka","ka",358
1,"ka bu","bu",356
1,"bu ka","ka",359
1,"ka re","re",354
1,"re ba","ba",322
1,"ba to","to",375
1,"to ta","ta",344
1,"ta ba","ba",347
1,"ba ti","ti",350
1,"ti ba","ba",369
1,"ba ka","ka",359
1,"ka ka","ka",333
1,"ka bu","bu",359
1,"bu ka","ka",352
1,"ka re","re",322
1,"re ba","ba",351
1,"ba to","to",335
1,"to ba","ba",345
1,"ba bu","bu",341
1,"bu re","re",340
1,"re bu","bu",317
1,"bu ka","ka",360
1,"ka ta","ta",387
1,"ta bu","bu",366
1,"bu go","go",333
1,"go go","go",361
1,"go go","go",368
1,"go ba","ba",343
1,"ba ka","ka",354
1,"ka ti","ti",361
1,"ti ba","ba",364
1,"ba bu","bu",358
1,"bu bu","bu",365
