"","downloaded","data_id","item_kind","category","item_id","item_definition","english_gloss","uni_lemma","child_id","age","value"
"1","2024-08-13",342535,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59540,12,""
"2","2024-08-13",342536,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59541,12,""
"3","2024-08-13",342537,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59542,12,""
"4","2024-08-13",342538,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59543,12,""
"5","2024-08-13",342539,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59544,12,""
"6","2024-08-13",342540,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59545,12,""
"7","2024-08-13",342541,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59546,12,""
"8","2024-08-13",342542,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59547,12,""
"9","2024-08-13",342543,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59548,12,""
"10","2024-08-13",342544,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59549,12,""
"11","2024-08-13",342545,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59550,12,""
"12","2024-08-13",342546,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59551,12,""
"13","2024-08-13",342547,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59552,12,""
"14","2024-08-13",342548,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59553,12,""
"15","2024-08-13",342549,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59554,12,""
"16","2024-08-13",342550,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59555,12,""
"17","2024-08-13",342551,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59556,12,""
"18","2024-08-13",342552,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59557,12,""
"19","2024-08-13",342553,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59558,12,""
"20","2024-08-13",342554,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59559,12,""
"21","2024-08-13",342555,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59560,12,""
"22","2024-08-13",342556,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59561,12,""
"23","2024-08-13",342557,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59562,12,""
"24","2024-08-13",342558,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59563,12,""
"25","2024-08-13",342559,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59564,12,""
"26","2024-08-13",342560,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59565,12,""
"27","2024-08-13",342561,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59566,12,""
"28","2024-08-13",342562,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59567,12,""
"29","2024-08-13",342563,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59568,12,""
"30","2024-08-13",342564,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59569,12,""
"31","2024-08-13",342565,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59570,12,""
"32","2024-08-13",342566,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59571,12,""
"33","2024-08-13",342567,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59572,12,""
"34","2024-08-13",342568,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59573,12,""
"35","2024-08-13",342569,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59574,12,""
"36","2024-08-13",342570,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59575,12,""
"37","2024-08-13",342571,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59576,12,""
"38","2024-08-13",342572,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59577,12,""
"39","2024-08-13",342573,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59578,12,""
"40","2024-08-13",342574,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59579,12,""
"41","2024-08-13",342575,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59580,12,""
"42","2024-08-13",342576,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59581,12,""
"43","2024-08-13",342577,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59582,12,""
"44","2024-08-13",342578,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59583,12,""
"45","2024-08-13",342579,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59584,12,""
"46","2024-08-13",342580,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59585,12,""
"47","2024-08-13",342581,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59586,12,""
"48","2024-08-13",342582,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59587,12,""
"49","2024-08-13",342583,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59588,12,""
"50","2024-08-13",342584,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59589,12,""
"51","2024-08-13",342585,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59590,12,""
"52","2024-08-13",342586,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59591,12,""
"53","2024-08-13",342587,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59592,12,""
"54","2024-08-13",342588,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59593,12,""
"55","2024-08-13",342589,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59594,12,""
"56","2024-08-13",342590,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59595,12,""
"57","2024-08-13",342591,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59596,12,""
"58","2024-08-13",342592,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59597,12,""
"59","2024-08-13",342593,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59598,12,""
"60","2024-08-13",342594,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59599,12,""
"61","2024-08-13",342595,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59600,12,""
"62","2024-08-13",342596,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59601,12,""
"63","2024-08-13",342597,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59602,12,""
"64","2024-08-13",342598,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59603,12,""
"65","2024-08-13",342599,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59604,12,""
"66","2024-08-13",342600,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59605,12,""
"67","2024-08-13",342601,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59606,12,""
"68","2024-08-13",342602,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59607,12,""
"69","2024-08-13",342603,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59608,12,""
"70","2024-08-13",342604,"word","animals","item_30","kangaroo/roo","kangaroo/roo","kangaroo",59609,12,""
