premise,conclusion,human
dolphin,herring,2.7777777777777777
dolphin,human,3.7777777777777777
dolphin,kelp,2
dolphin,mako,4.222222222222222
dolphin,sandshark,1.666666666666667
dolphin,tuna,2.2222222222222223
herring,dolphin,4.777777777777778
herring,human,2.333333333333333
herring,kelp,2.8888888888888893
herring,mako,3.4444444444444446
herring,sandshark,4.555555555555555
herring,tuna,5.222222222222222
human,dolphin,2.2222222222222223
human,herring,2.333333333333333
human,kelp,1.2222222222222223
human,mako,3.3333333333333335
human,sandshark,1.8888888888888893
human,tuna,1.7777777777777777
kelp,dolphin,3.5555555555555554
kelp,herring,4.111111111111111
kelp,human,2
kelp,mako,2.8888888888888893
kelp,sandshark,3.4444444444444446
kelp,tuna,3
mako,dolphin,4
mako,herring,3.2222222222222223
mako,human,4.666666666666666
mako,kelp,1.4444444444444446
mako,sandshark,2.1111111111111107
mako,tuna,2.4444444444444446
sandshark,dolphin,1.333333333333333
sandshark,herring,2.2222222222222223
sandshark,human,2.2222222222222223
sandshark,kelp,1.8888888888888893
sandshark,mako,2.2222222222222223
sandshark,tuna,1.4444444444444446
tuna,dolphin,2.333333333333333
tuna,herring,3
tuna,human,2.5555555555555554
tuna,kelp,0.8888888888888893
tuna,mako,4.666666666666666
tuna,sandshark,1.8888888888888893
