condition,stim_id,angle,size,z,human_p_z1_given_x
angle,1,50,4.51,NA,0.9634146341463414
angle,2,54,4.51,1,0.5719557195571956
angle,3,58,4.51,2,0.1568627450980392
angle,4,62,4.51,NA,0.024390243902439046
angle,5,50,4.8,NA,0.9878048780487805
angle,6,54,4.8,1,0.662020905923345
angle,7,58,4.8,2,0.2290076335877863
angle,8,62,4.8,NA,0.024390243902439046
angle,9,50,5.08,1,0.9128919860627178
angle,10,54,5.08,NA,0.5731707317073171
angle,11,58,5.08,NA,0.13414634146341464
angle,12,62,5.08,2,0.01520912547528519
angle,13,50,5.36,NA,0.926829268292683
angle,14,54,5.36,NA,0.5731707317073171
angle,15,58,5.36,2,0.09561752988047811
angle,16,62,5.36,NA,0.024390243902439046
crisscross,1,50,4.51,2,0.2222222222222222
crisscross,2,54,4.51,2,0.4051724137931034
crisscross,3,58,4.51,NA,0.6081081081081081
crisscross,4,62,4.51,1,0.7677725118483412
crisscross,5,50,4.8,NA,0.45945945945945943
crisscross,6,54,4.8,NA,0.45945945945945943
crisscross,7,58,4.8,1,0.575
crisscross,8,62,4.8,NA,0.6351351351351351
crisscross,9,50,5.08,NA,0.7162162162162162
crisscross,10,54,5.08,1,0.5381165919282511
crisscross,11,58,5.08,NA,0.44594594594594594
crisscross,12,62,5.08,NA,0.32432432432432434
crisscross,13,50,5.36,1,0.7758620689655172
crisscross,14,54,5.36,NA,0.5945945945945945
crisscross,15,58,5.36,2,0.2825112107623319
crisscross,16,62,5.36,2,0.17372881355932202
diagonal,1,50,4.51,NA,0.4651162790697675
diagonal,2,54,4.51,1,0.8064516129032258
diagonal,3,58,4.51,1,0.9063670411985019
diagonal,4,62,4.51,NA,0.9651162790697675
diagonal,5,50,4.8,2,0.22184300341296925
diagonal,6,54,4.8,NA,0.5697674418604651
diagonal,7,58,4.8,1,0.7003891050583657
diagonal,8,62,4.8,NA,0.813953488372093
diagonal,9,50,5.08,NA,0.09302325581395354
diagonal,10,54,5.08,2,0.2126865671641791
diagonal,11,58,5.08,NA,0.4883720930232558
diagonal,12,62,5.08,1,0.7481203007518797
diagonal,13,50,5.36,NA,0.03488372093023251
diagonal,14,54,5.36,2,0.1003717472118959
diagonal,15,58,5.36,2,0.2532751091703057
diagonal,16,62,5.36,NA,0.6395348837209303
size,1,50,4.51,NA,0.972972972972973
size,2,54,4.51,1,0.9845559845559846
size,3,58,4.51,NA,0.972972972972973
size,4,62,4.51,NA,0.9864864864864865
size,5,50,4.8,1,0.8698884758364313
size,6,54,4.8,NA,0.8918918918918919
size,7,58,4.8,1,0.8421052631578947
size,8,62,4.8,1,0.8528301886792453
size,9,50,5.08,NA,0.31081081081081086
size,10,54,5.08,NA,0.2432432432432432
size,11,58,5.08,2,0.24444444444444446
size,12,62,5.08,2,0.24472573839662448
size,13,50,5.36,NA,0.027027027027026973
size,14,54,5.36,2,0.03375527426160341
size,15,58,5.36,NA,0.04054054054054057
size,16,62,5.36,NA,0.04054054054054057
